Datetime,Open,High,Low,Close,Adj Close,Volume
2020-01-24 09:30:00-05:00,348.4599915,350,345.8800049,346.9599915,346.9599915,646140
2020-01-24 09:32:00-05:00,346.9898987,348.3999939,346.3044128,348.3999939,348.3999939,165402
2020-01-24 09:34:00-05:00,348.2839966,350.6635132,348.2839966,350.6635132,350.6635132,289778
2020-01-24 09:36:00-05:00,351.2034912,352.7775879,351.2034912,352.7775879,352.7775879,433273
2020-01-24 09:38:00-05:00,352.8786011,352.9299927,352.2799988,352.2799988,352.2799988,321596
2020-01-24 09:40:00-05:00,352.2601013,353.394989,352.2601013,353.394989,353.394989,246056
2020-01-24 09:42:00-05:00,353.4269104,354.5700073,353.4269104,354.5700073,354.5700073,158138
2020-01-24 09:44:00-05:00,354.5799866,354.5799866,352.7250061,352.7250061,352.7250061,89089
2020-01-24 09:46:00-05:00,351.8999939,352.6149902,351.5490112,352.1199951,352.1199951,220451
2020-01-24 09:48:00-05:00,351.7600098,352.7590942,351.6600037,352.7590942,352.7590942,141968
2020-01-24 09:50:00-05:00,352.9450073,354.0599976,352.9450073,353.8450012,353.8450012,120022
2020-01-24 09:52:00-05:00,354.1099854,354.6142883,354.1099854,354.5440063,354.5440063,158747
2020-01-24 09:54:00-05:00,354.5899963,354.9299927,354.0647888,354.9299927,354.9299927,114742
2020-01-24 09:56:00-05:00,355.4598999,355.6615906,355.1199951,355.6615906,355.6615906,179892
2020-01-24 09:58:00-05:00,355.9200134,357.5,355.6900024,357.3699951,357.3699951,196447
2020-01-24 10:00:00-05:00,357.4249878,357.4353027,355.5,355.7900085,355.7900085,276307
2020-01-24 10:02:00-05:00,355.5249939,356.7612,355.439209,355.6434021,355.6434021,138425
2020-01-24 10:04:00-05:00,355.8250122,356.446991,355.4200134,355.4200134,355.4200134,105386
2020-01-24 10:06:00-05:00,355.5,356.9700012,355.5,356.7900085,356.7900085,126846
2020-01-24 10:08:00-05:00,356.8250122,357.6499939,355.75,357.2432861,357.2432861,142704
2020-01-24 10:10:00-05:00,357.4266052,358.5,357.2200012,358.480011,358.480011,233755
2020-01-24 10:12:00-05:00,358.480011,359.4200134,358.3699951,359.2091064,359.2091064,255657
2020-01-24 10:14:00-05:00,359.3299866,359.5799866,358.8900146,359.0400085,359.0400085,234150
2020-01-24 10:16:00-05:00,359.1000061,359.2000122,357.8399963,358.5166016,358.5166016,186793
2020-01-24 10:18:00-05:00,358.6900024,359.1698914,358.5,358.5,358.5,138049
2020-01-24 10:20:00-05:00,358.5100098,359.8399963,357.5400085,359.8399963,359.8399963,239189
2020-01-24 10:22:00-05:00,359.6600037,359.8500061,358,358,358,176339
2020-01-24 10:24:00-05:00,358.0667114,358.3800049,357.3500061,358.269989,358.269989,131709
2020-01-24 10:26:00-05:00,358.2399902,358.2600098,356.6499939,356.9200134,356.9200134,162316
2020-01-24 10:28:00-05:00,356.8999939,357.0700073,355.3200073,355.531189,355.531189,168035
2020-01-24 10:30:00-05:00,355.4855042,355.9399109,354.6099854,355.730011,355.730011,190712
2020-01-24 10:32:00-05:00,355.8345947,356.4699097,355.7500916,356.1300049,356.1300049,133956
2020-01-24 10:34:00-05:00,356.1600037,356.3099976,355.1000061,355.1900024,355.1900024,131784
2020-01-24 10:36:00-05:00,355.2200012,356.519989,354.5400085,356.519989,356.519989,135210
2020-01-24 10:38:00-05:00,356.5299988,356.5400085,356,356.066803,356.066803,72307
2020-01-24 10:40:00-05:00,356.1455078,356.1455078,355.1700134,355.730011,355.730011,69332
2020-01-24 10:42:00-05:00,355.7900085,356.1723022,354.6300049,355.1621094,355.1621094,103390
2020-01-24 10:44:00-05:00,355.1099854,355.3399963,354.0700073,354.1400146,354.1400146,60851
2020-01-24 10:46:00-05:00,354.1000061,354.7799072,353.5799866,354.75,354.75,101063
2020-01-24 10:48:00-05:00,354.730011,355.2979126,354.6099854,355.0799866,355.0799866,69894
2020-01-24 10:50:00-05:00,355.0360107,355.1442871,354.6000061,354.9601135,354.9601135,80062
2020-01-24 10:52:00-05:00,354.980011,355.7998962,354.8800049,355.5,355.5,64865
2020-01-24 10:54:00-05:00,355.4899902,355.9100037,355.2600098,355.8599854,355.8599854,50735
2020-01-24 10:56:00-05:00,355.8500061,355.8599854,354.6799927,354.8501892,354.8501892,73844
2020-01-24 10:58:00-05:00,354.8587952,355.0700073,354,354.0599976,354.0599976,67121
2020-01-24 11:00:00-05:00,354.0100098,354.0599976,353.1000061,353.8699951,353.8699951,101919
2020-01-24 11:02:00-05:00,353.8299866,353.9100037,352.6799927,353.4500122,353.4500122,102928
2020-01-24 11:04:00-05:00,353.4049988,353.7900085,353.1600037,353.7316895,353.7316895,67561
2020-01-24 11:06:00-05:00,353.7600098,353.829895,353.0100098,353.6300049,353.6300049,114469
2020-01-24 11:08:00-05:00,353.5213013,353.9400024,353.269989,353.6000061,353.6000061,78786
2020-01-24 11:10:00-05:00,353.5599976,353.6300049,352.9299927,353.4598999,353.4598999,46454
2020-01-24 11:12:00-05:00,353.4899902,354.3299866,353.1700134,354.2362976,354.2362976,52484
2020-01-24 11:14:00-05:00,354.0700073,355.3699951,354.019989,354.9700012,354.9700012,130389
2020-01-24 11:16:00-05:00,354.9949951,355.4466858,354.3999939,354.4849854,354.4849854,89620
2020-01-24 11:18:00-05:00,354.3765869,354.4559021,353.1400146,353.6365967,353.6365967,61865
2020-01-24 11:20:00-05:00,353.6900024,354.8499146,353.6099854,353.6904907,353.6904907,44557
2020-01-24 11:22:00-05:00,353.6220093,353.8230896,353.1482849,353.4411926,353.4411926,43182
2020-01-24 11:24:00-05:00,353.2999878,353.2999878,352,352.1824951,352.1824951,108562
2020-01-24 11:26:00-05:00,352.2099915,352.6700134,352.0299988,352.4100037,352.4100037,53545
2020-01-24 11:28:00-05:00,352.4400024,352.9200134,351.8800964,352.3299866,352.3299866,61071
2020-01-24 11:30:00-05:00,352.2659912,352.7099915,351.6700134,352.0100098,352.0100098,82571
2020-01-24 11:32:00-05:00,352,352.1300049,351.3999939,351.9223022,351.9223022,52439
2020-01-24 11:34:00-05:00,351.9086914,352.3499146,351.7892151,352.1300049,352.1300049,38063
2020-01-24 11:36:00-05:00,352.0700073,352.3865051,351.2099915,352.230011,352.230011,57873
2020-01-24 11:38:00-05:00,352.230011,352.2900085,351.5740051,351.7879944,351.7879944,32993
2020-01-24 11:40:00-05:00,351.7799988,352.3800049,351.5851135,351.8399963,351.8399963,46281
2020-01-24 11:42:00-05:00,351.769989,351.8399963,351.1900024,351.269989,351.269989,36764
2020-01-24 11:44:00-05:00,351.269989,351.6698914,351.1300049,351.3565063,351.3565063,43973
2020-01-24 11:46:00-05:00,351.3850098,351.9299927,351.1400146,351.75,351.75,34212
2020-01-24 11:48:00-05:00,351.6499939,351.7000122,351.1300049,351.3299866,351.3299866,21527
